,date,tic,close,high,low,open,volume,day,daily_return,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,2017-11-09,AAPL,41.18247604370117,44.025001525878906,43.28499984741211,43.77750015258789,117930400.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,41.18247604370117,41.18247604370117
0,2017-11-09,AMGN,138.74066162109375,174.22999572753906,171.30999755859375,172.75,2005100.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,138.74066162109375,138.74066162109375
0,2017-11-09,AMZN,56.45650100708008,56.48099899291992,55.78850173950195,56.29800033569336,74654000.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,56.45650100708008,56.45650100708008
0,2017-11-09,AXP,84.53785705566406,94.66000366210938,93.27999877929688,94.33999633789062,3949800.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,84.53785705566406,84.53785705566406
0,2017-11-09,BA,250.3512420654297,266.75,259.55999755859375,265.010009765625,3215900.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,250.3512420654297,250.3512420654297
0,2017-11-09,CAT,114.92684936523438,136.75,134.64999389648438,136.44000244140625,2940300.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,114.92684936523438,114.92684936523438
0,2017-11-09,CRM,102.8629379272461,104.44000244140625,102.41000366210938,104.33000183105469,5128600.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,102.8629379272461,102.8629379272461
0,2017-11-09,CSCO,27.13332748413086,34.31999969482422,33.869998931884766,34.290000915527344,16785000.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,27.13332748413086,27.13332748413086
0,2017-11-09,CVX,85.10509490966797,117.5,115.62000274658203,115.9000015258789,5103300.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,85.10509490966797,85.10509490966797
0,2017-11-09,DIS,97.85111236572266,103.91000366210938,100.80000305175781,100.83000183105469,13172500.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,97.85111236572266,97.85111236572266
0,2017-11-09,GS,204.2560577392578,242.3699951171875,237.83999633789062,239.50999450683594,2122400.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,204.2560577392578,204.2560577392578
0,2017-11-09,HD,136.2267303466797,164.13999938964844,162.27999877929688,164.10000610351562,3405200.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,136.2267303466797,136.2267303466797
0,2017-11-09,HON,119.45433807373047,140.36489868164062,138.61093139648438,140.1923828125,2456155.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,119.45433807373047,119.45433807373047
0,2017-11-09,IBM,103.26952362060547,145.12428283691406,143.26959228515625,143.33651733398438,4996219.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,103.26952362060547,103.26952362060547
0,2017-11-09,JNJ,114.06761169433594,141.41000366210938,139.8000030517578,140.86000061035156,3517100.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,114.06761169433594,114.06761169433594
0,2017-11-09,JPM,79.20002746582031,98.22000122070312,96.80999755859375,97.12000274658203,13697800.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,79.20002746582031,79.20002746582031
0,2017-11-09,KO,36.52236557006836,46.38999938964844,46.02000045776367,46.119998931884766,6532400.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,36.52236557006836,36.52236557006836
0,2017-11-09,MCD,140.00439453125,169.1999969482422,166.10000610351562,168.72000122070312,4219000.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,140.00439453125,140.00439453125
0,2017-11-09,MMM,145.5750732421875,191.80601501464844,189.8411407470703,191.0869598388672,1884657.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,145.5750732421875,145.5750732421875
0,2017-11-09,MRK,42.733280181884766,54.064884185791016,53.07251739501953,53.959922790527344,14818825.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,42.733280181884766,42.733280181884766
0,2017-11-09,MSFT,77.36575317382812,84.2699966430664,82.9000015258789,84.11000061035156,21178400.0,3,-0.003309824366817371,0.0,41.3070895348004,40.921555789906634,0.0,-66.66666666666667,100.0,77.36575317382812,77.36575317382812
