Date,Open,High,Low,Close
2017-11-09,150.227148554251,151.86863388946466,149.8414513054469,151.68923950195312
2017-11-10,151.0883220873556,153.72546308335694,150.76540658403053,153.70751953125
2017-11-13,153.38457593320803,155.25927302086484,153.07062541998127,153.7971954345703
2017-11-14,153.22312427030704,154.12907502079216,152.281286422365,153.7792510986328
2017-11-15,151.8596746066045,153.14235752757045,149.8504218057944,151.590576171875
2017-11-16,153.14698072481656,154.14558993790803,152.18436509694365,153.82171630859375
2017-11-17,153.83971310120305,154.91928728974045,153.5248310044281,153.82171630859375
2017-11-20,153.93870118809633,155.21619913115748,153.70479775430752,154.9912872314453
2017-11-21,155.60303081747665,156.70959335024904,155.23417206404224,156.01686096191406
2017-11-22,156.39474019397696,156.538687108915,153.92971448144644,155.1712188720703
2017-11-24,155.08121697845672,155.7829408240808,154.28952290543285,154.39747619628906
2017-11-27,154.96425811442526,155.69297028128724,153.94765220249076,155.2881317138672
2017-11-28,155.9269290306292,156.700612790229,155.23419653310108,156.2238006591797
2017-11-29,156.53869189897793,159.90337906906353,156.13385319991835,159.71444702148438
2017-11-30,162.32340673989927,166.34483253233867,162.13448843497088,165.9219970703125
2017-12-01,164.86940753414476,166.59672920864608,162.9531675587391,166.5517578125
2017-12-04,168.4319986472655,170.82506418672122,167.83822802874835,170.53717041015625
2017-12-05,170.63615682230667,172.03061333292052,168.0991577557189,168.97181701660156
2017-12-06,168.79184505521857,169.11571867649383,166.89358844420852,168.43199157714844
2017-12-07,167.79324704371865,168.95379998373093,166.9385846807248,167.5143585205078
2017-12-08,168.04512453948252,169.61051588970454,167.2894240507668,169.19668579101562
2017-12-11,169.3226747575527,169.94342004814072,168.27007502311127,169.90744018554688
2017-12-12,168.19810114361465,170.14132929340138,168.05415425028784,169.40362548828125
2017-12-13,169.61053197879707,171.0409681240265,168.9537931866057,169.3856201171875
2017-12-14,169.65552891851397,170.69912332370913,167.48737512690982,167.81124877929688
2017-12-15,174.0008207636847,175.74613905486245,172.73231453421658,173.38905334472656
2017-12-18,173.299078441934,174.84647302694785,172.64232597359393,173.0111846923828
2017-12-19,173.5509899256461,173.6319549001632,168.234070291868,169.43060302734375
2017-12-20,170.0693766026564,170.2673001732533,166.79465988123462,168.6929168701172
2017-12-21,169.13372768208134,169.4935811861371,167.85622989689276,168.0541534423828
2017-12-22,168.47700375230187,168.66592205399465,167.30745916944198,167.90122985839844
2017-12-26,167.5053652521085,168.5399543554033,167.44238333976188,167.82923889160156
2017-12-27,168.09911788489137,168.28803614664642,167.1544853935274,167.60430908203125
2017-12-28,167.847240521126,168.25207915027457,167.50537007860737,167.8922119140625
2017-12-29,167.74833453204374,168.7739324731321,167.2715085695522,167.44244384765625
2018-01-02,168.44100461052847,171.54478586954653,168.0001861027527,169.421630859375
2018-01-03,169.87144409955835,172.82228674160544,169.47559701116867,171.45481872558594
2018-01-04,172.73232437586228,173.00222137820592,168.7378871782654,170.12335205078125
2018-01-05,170.4202300410782,170.6451419302065,167.98219285034557,168.90882873535156
2018-01-08,168.52197112273012,170.01537549402198,168.4589892104459,169.5655517578125
2018-01-09,170.04237936089015,170.30328483915426,167.46938680551398,167.5953369140625
2018-01-10,167.10950736461652,167.5503395399522,165.42717109109057,166.8126220703125
2018-01-11,166.82164055343165,171.5357987123388,166.46178702024648,170.37525939941406
2018-01-12,171.02298586886457,172.89424048609118,170.9330156327824,172.58836364746094
2018-01-16,173.04719627407593,173.48801474857413,171.73370492830455,172.30947875976562
2018-01-17,173.2091149005778,173.23610322469898,172.13853228533668,172.99319458007812
2018-01-18,172.93925126506915,173.65897207792744,172.03061214694938,172.29150390625
2018-01-19,172.47141116204824,173.30807666486552,171.9766023406095,172.99319458007812
2018-01-22,173.18217787141234,175.21537668009427,172.78633069701507,174.87351989746094
2018-01-23,174.18076189026223,174.62159412961282,172.79531070985374,174.00982666015625
2018-01-24,174.9184953840801,175.20638923674085,172.66937613842234,174.74757385253906
2018-01-25,175.4313080447775,178.53508998006274,175.19740457596373,178.08526611328125
2018-01-26,177.9052735182574,179.23674782780827,176.0520020689094,178.94886779785156
2018-01-29,178.46307747391387,179.82155404003922,177.73436516554486,178.41810607910156
2018-01-30,177.76134632293972,178.8409205779955,176.40288353914377,178.0492401123047
2018-01-31,177.62640115654906,178.55303696540162,174.62158185934695,175.31430053710938
2018-02-01,174.00081766059907,175.7911073114011,173.12815853057296,174.05479431152344
2018-02-02,172.05755754642132,174.17173433277466,171.65271898005324,171.8236541748047
2018-02-05,171.52683942229731,172.82233434934318,164.21269898774634,164.42861938476562
2018-02-06,160.9559891244955,166.65076127262805,158.51793757770602,166.44383239746094
2018-02-07,166.07494864225825,167.50538499884476,164.69848894402853,164.8064422607422
2018-02-08,165.99396550075215,165.99396550075215,160.614076963305,160.68605041503906
2018-02-09,161.7385883858308,163.7987883633703,158.14899076374883,162.58425903320312
2018-02-12,163.59192180737287,164.86941979515913,162.27844395448753,162.89019775390625
2018-02-13,162.13446653014594,166.0749268023916,161.98152810906973,165.67007446289062
2018-02-14,164.37461646332895,169.56557315025654,164.0147491924418,168.54898071289062
2018-02-15,169.66748339832813,172.93293112189772,168.29637001769132,172.72544860839844
2018-02-16,172.69838084782015,175.557892781975,172.3285350932281,172.797607421875
2018-02-20,171.27313010622336,172.72543879690224,169.2525362856358,169.6945343017578
2018-02-21,170.0644597021304,170.6147139051172,167.50262632873284,167.55674743652344
2018-02-22,168.0979229986619,169.88398770724393,167.4755029639667,168.3144073486328
2018-02-23,169.43300525205007,171.2551603453183,167.70106117138374,171.2190704345703
2018-02-26,171.4806253238822,174.18678976078138,171.32726389323886,173.92518615722656
2018-02-27,174.50252768566074,176.36978804287153,171.48065185546875,171.48065185546875
2018-02-28,172.83370461836176,174.7821325191253,172.19323965618804,172.20225524902344
2018-03-01,172.57209514302917,174.08755430786928,168.97290543452775,170.51541137695312
2018-03-02,169.11724944149867,171.7422325139105,168.88272012174184,170.7860565185547
2018-03-05,169.9922236756924,173.17647600672305,169.13527437172843,172.72544860839844
2018-03-06,173.32078804491564,173.42001461164884,171.45354198908828,172.7073974609375
2018-03-07,170.67782512691304,171.16492874928994,166.6817144946099,169.00901794433594
2018-03-08,167.95365209077372,168.09798421949594,165.148259998481,167.50262451171875
2018-03-09,168.23323651147092,170.1636334200668,166.1765524692011,170.10951232910156
2018-03-12,169.82987618602266,171.48063826885792,169.1803955709968,170.82212829589844
2018-03-13,171.4355469350881,171.49868362451392,168.50386833160343,169.09922790527344
2018-03-14,170.28986193092086,170.49733062962088,165.52701486589322,166.5463409423828
2018-03-15,166.71774279503347,168.29633839253012,166.12238343769775,167.34014892578125
2018-03-16,167.9445823392442,168.00773279197344,166.4020760978411,167.66494750976562
2018-03-19,167.448423711627,167.7641346081491,164.90462276956606,166.11337280273438
