Date,Open,High,Low,Close
2017-11-09,177.63146810918818,178.71731664479552,176.41610940302652,178.61770629882812
2017-11-10,177.67131703133026,178.4184629983237,177.2828017365226,177.78089904785156
2017-11-13,176.8245350687115,178.3586680085953,176.62529919610256,178.08970642089844
2017-11-14,177.45214900464077,178.28894882066714,176.50575197383594,177.3923797607422
2017-11-15,175.98774279464692,177.89047814082667,175.72872246854965,177.2728271484375
2017-11-16,178.07974234606152,179.1456778711266,177.82073722068955,178.90658569335938
2017-11-17,178.61767853156263,179.29508350144124,178.21919160746768,178.31881713867188
2017-11-20,178.18932467446635,178.81693214175803,177.42226577080248,178.05982971191406
2017-11-21,178.46825939327297,181.19783811363592,178.3088798072475,181.1679534912109
2017-11-22,180.61008851197516,181.0384449042813,179.7533605266391,180.1817169189453
2017-11-24,179.71349419979205,182.4530292650372,179.60391218915333,182.08444213867188
2017-11-27,181.86529863614103,183.0308445894964,181.2974755720203,182.33351135253903
2017-11-28,182.81166327148765,183.54885273846415,181.39706878138924,181.72581481933597
2017-11-29,181.19783191384903,181.27752930449665,173.3378572698156,174.46356201171875
2017-11-30,176.1770217209363,177.6015727076885,174.5332915046184,176.50575256347656
2017-12-01,175.36013900968155,176.80461817897452,171.68417840320356,174.43368530273438
2017-12-04,175.61913970137238,175.89808817460275,170.14006939027533,170.81748962402344
2017-12-05,169.80136945185134,174.71261681874176,168.3668467710499,172.1723175048828
2017-12-06,171.8435643893867,176.09731948583655,171.24584156339532,175.3900146484375
2017-12-07,175.13100239596164,179.70353166612276,175.13100239596164,179.45448303222656
2017-12-08,180.83918803077523,181.5863339126412,178.05981203855157,178.31881713867188
2017-12-11,178.61769341813292,179.5341906188523,178.1195961220426,178.35867309570312
2017-12-12,177.9203643962386,178.4981438965518,175.9279751653769,176.28660583496094
2017-12-13,176.6252959331518,178.47821839555743,176.57548316573912,177.62149047851562
2017-12-14,177.61154083465354,179.67367109567982,177.00386147857915,177.71116638183594
2017-12-15,178.3387799453891,179.8031873745132,177.68128779338952,179.49435424804688
2017-12-18,180.3211764340672,180.61008137624304,179.06597672870208,180.1319122314453
2017-12-19,179.26521709877142,179.39472726235306,177.54180467900662,178.82688903808594
2017-12-20,179.12575029778705,179.12575029778705,176.68507654471523,177.2130584716797
2017-12-21,177.2628753392561,178.00004963884328,176.3762627243596,176.7747344970703
2017-12-22,176.46591129795144,176.85442658493963,175.55937056140456,176.5256805419922
2017-12-26,175.95784587786764,176.3264329922078,174.00529789765872,175.32028198242188
2017-12-27,175.87817140811242,177.76097871974054,175.58926644242612,176.944091796875
2017-12-28,177.27281980155624,178.25905789316613,177.00384301280394,177.24293518066406
2017-12-29,177.32263085172073,178.1694023040545,175.7884979248047,175.7884979248047
2018-01-02,177.00384115162942,180.8890090347099,176.87434619603252,180.7296142578125
2018-01-03,181.1878783978132,184.07683665251065,180.63996832861932,183.96725463867188
2018-01-04,184.196393630279,185.5014214536247,183.3994500322409,183.62857055664065
2018-01-05,184.883746903258,186.1887593599961,184.2262548377994,186.1389617919922
2018-01-08,186.48763032230468,188.18115814068648,185.62094586481973,187.5635223388672
2018-01-09,187.98190309105112,188.0815286234497,186.38800097772756,187.15505981445312
2018-01-10,186.2286140788675,187.17499587377387,184.92360163317613,187.12518310546875
2018-01-11,187.68305796444764,187.68305796444764,186.6669504093632,187.0554656982422
2018-01-12,177.3824111890314,180.7893949573534,176.72491909319987,178.6874237060547
2018-01-16,180.80933241022748,181.0583810774592,177.3624921674218,177.71116638183594
2018-01-17,178.57783527169502,178.63761971521384,175.13101053086947,176.92416381835938
2018-01-18,177.452155728844,180.29130132667245,176.40614831881294,179.1157989501953
2018-01-19,180.1618000582648,181.6760049105177,179.48437982375307,180.60011291503903
2018-01-22,180.11199493241577,184.68452470672835,179.72347962873022,184.6645965576172
2018-01-23,185.3420103118217,188.8286914483488,184.84391300660357,188.62945556640625
2018-01-24,189.16740495209208,189.93447910287225,185.81023378421256,185.84011840820312
2018-01-25,187.23476845525173,187.90221700042235,185.88991489136103,186.7665557861328
2018-01-26,187.03553964715252,189.2769775390625,186.09911427352773,189.2769775390625
2018-01-29,188.031741284838,188.12139515568745,184.9236188229309,185.27227783203125
2018-01-30,186.90602576620643,187.46389230942935,181.14802220108996,186.40792846679688
2018-01-31,187.65318157655145,189.10763245557737,184.5151745056574,186.17881774902344
2018-02-01,187.5037465712109,194.5767342263678,187.175000533081,192.35520935058597
2018-02-02,191.3092052354776,193.4709609047336,189.25704678151223,189.555908203125
2018-02-05,186.2186580293034,189.88466223389065,179.92271576592665,180.5702362060547
2018-02-06,177.89047097464808,185.06306881081963,177.06362766065268,184.6048126220703
2018-02-07,183.44924843408623,184.37571741203564,179.26523372261363,179.49435424804688
2018-02-08,180.32118641096724,181.1480297866981,170.82745270272727,170.9270782470703
2018-02-09,174.09496578158814,176.22682165377913,166.54380876120825,175.43983459472656
2018-02-12,176.3862136477638,176.87435447458842,171.18607661369526,175.7386932373047
2018-02-13,174.95169074463877,175.30036493484212,172.4412912977784,172.4910888671875
2018-02-14,172.78994470581395,179.1257427636226,172.55086773805843,178.83685302734375
2018-02-15,179.81314597707163,179.81314597707163,176.16706967362848,179.27520751953125
2018-02-16,178.30887590547454,179.19548848636992,175.6291100147,176.68507385253906
2018-02-20,175.1011329801002,177.27282995989836,174.44364088135035,175.3402099609375
2018-02-21,176.0375711159835,180.58021648982165,175.72873799214543,177.23300170898438
2018-02-22,178.0199787096655,179.52424234099507,176.7348943154028,178.3088836669922
2018-02-23,179.21541472106438,182.6921395851913,178.8268994085123,182.59251403808597
2018-02-26,183.87759833987133,184.9534903158545,182.52277309612091,184.22625732421875
2018-02-27,183.74809770906293,183.99714636825132,180.7694854736328,180.7694854736328
2018-02-28,181.6062840869702,182.1840787964501,177.46211077804614,177.6414337158203
2018-03-01,178.32880228417173,179.43457897515495,173.74631592569682,175.27049255371094
2018-03-02,172.63054631191503,176.4360167767129,172.33170010847851,175.9478759765625
2018-03-05,175.5294717648366,180.4606316093951,175.22065389508182,179.71348571777344
2018-03-06,181.08826024954973,181.68598311320028,178.4284223876801,179.0958709716797
2018-03-07,178.05983668120504,183.12050731217028,177.3923880917863,183.01092529296875
2018-03-08,182.86149214262045,183.6982920215918,180.75952076997663,181.6461334228516
2018-03-09,183.2101318885653,184.80403394851749,182.51279878729116,184.5251007080078
2018-03-12,184.52512797769288,185.39182764660143,183.51897686864243,184.05691528320312
2018-03-13,184.9036831280748,185.2822419460675,180.42080735985,181.18788146972656
2018-03-14,181.90512903701625,183.54884394730013,181.1579831322104,183.48907470703125
2018-03-15,182.5427035690779,183.29980599112872,181.49669620126647,183.16033935546875
2018-03-16,183.78794300891505,184.6247428055396,182.71205104151656,184.3856506347656
2018-03-19,176.33641409740173,176.4958088937093,169.4128641404891,171.90335083007812
2018-03-20,166.83271154279652,169.55231855543016,161.33371307268345,167.51011657714844
2018-03-21,164.17287741893617,172.7401420828321,162.67858547980882,168.7454071044922
2018-03-22,165.49782961922745,169.62207505035863,163.09699675502063,164.26254272460938
2018-03-23,164.8104272781994,165.9660165938139,158.41486014972406,158.783447265625
2018-03-26,160.20804546562906,160.4869787769146,148.452944487432,159.450927734375
2018-03-27,155.71516377059922,162.2302844765021,150.176324643716,151.64073181152344
2018-03-28,151.07290890582976,155.28682311702593,150.22615259442617,152.44766235351562
2018-03-29,154.55957332944556,160.8057172111652,153.55342233890283,159.18191528320312
