Metric,A2C,PPO,SAC
Annual Return,0.092595,0.092805,0.091532
Cumulative Returns,0.269036,0.269693,0.265716
Annual Volatility,0.097947,0.097966,0.104141
Sharpe Ratio,0.953494,0.955293,0.893472
Max Drawdown,-0.154031,-0.153999,-0.174324
