Date,A2C,PPO,SAC,Equal_Weight,DJI
2023-06-01,0.0,0.0,0.0,0.0,
2023-06-02,0.02029381216706061,0.020298831902243242,0.017515116496364724,0.020308793492484378,
2023-06-03,0.02029381216706061,0.020298831902243242,0.017515116496364724,0.020308793492484378,
2023-06-04,0.02029381216706061,0.020298831902243242,0.017515116496364724,0.020308793492484378,
2023-06-05,0.01474749338373793,0.014746669933481948,0.011830828457704223,0.014758964375247707,
2023-06-06,0.015384375818351392,0.015378531259859551,0.013168960533527896,0.01539742300318081,
2023-06-07,0.016751844000946425,0.016739988308774212,0.01317400043393735,0.016781151729952315,
2023-06-08,0.02299499539079508,0.02297636931047209,0.019006805459240272,0.02301570113647111,
2023-06-09,0.02371876578791232,0.02371040391658008,0.01985382171249972,0.023742505903424194,
2023-06-10,0.02371876578791232,0.02371040391658008,0.01985382171249972,0.023742505903424194,
2023-06-11,0.02371876578791232,0.02371040391658008,0.01985382171249972,0.023742505903424194,
2023-06-12,0.030492481382602632,0.03048048579227225,0.02728222940702385,0.030517357739151985,
2023-06-13,0.03612341706718358,0.03610647264100919,0.03340792434193718,0.03614774513370578,
2023-06-14,0.03572317582005424,0.03571836390414873,0.03551980464534177,0.03574813381581232,
2023-06-15,0.04766174054418593,0.047654204944083345,0.047177268206643586,0.04768068384565871,
2023-06-16,0.04532675108097117,0.04530946412410253,0.04487383388466504,0.04534417379733635,
2023-06-17,0.04532675108097117,0.04530946412410253,0.04487383388466504,0.04534417379733635,
2023-06-18,0.04532675108097117,0.04530946412410253,0.04487383388466504,0.04534417379733635,
2023-06-19,0.04532675108097117,0.04530946412410253,0.04487383388466504,0.04534417379733635,
2023-06-20,0.03783941098682897,0.03783655458248769,0.03770560045474891,0.03785652193480993,
2023-06-21,0.034124616357202875,0.0341238263747321,0.031680208498353624,0.034144742877632916,
2023-06-22,0.0354378557747308,0.03543625460103472,0.033922666689089054,0.03544511678671136,
2023-06-23,0.028775901658195213,0.02878066576382987,0.026939815506316744,0.028789274250797803,
2023-06-24,0.028775901658195213,0.02878066576382987,0.026939815506316744,0.028789274250797803,
2023-06-25,0.028775901658195213,0.02878066576382987,0.026939815506316744,0.028789274250797803,
2023-06-26,0.027999955073264582,0.02799516895674703,0.025016275877857375,0.028016058458000703,
2023-06-27,0.03541607919642664,0.035424621620058216,0.0327588739232878,0.03543712326473081,
2023-06-28,0.033513956352098306,0.033518292102216796,0.0316780246856021,0.03353840800382857,
2023-06-29,0.04093697002524843,0.04095370895997741,0.039357559435005296,0.040970477111411,
2023-06-30,0.05075187964603889,0.050782953300218425,0.04912662941494994,0.05079058302632977,
2023-07-01,0.05075187964603889,0.050782953300218425,0.04912662941494994,0.05079058302632977,
2023-07-02,0.05075187964603889,0.050782953300218425,0.04912662941494994,0.05079058302632977,
2023-07-03,0.05149442203244181,0.051510485820448704,0.05046796068290105,0.05152914727573554,
2023-07-04,0.05149442203244181,0.051510485820448704,0.05046796068290105,0.05152914727573554,
2023-07-05,0.04811092108497572,0.04811715348626744,0.04590382744267729,0.04813908452135229,
2023-07-06,0.03654374762497614,0.03656647246351463,0.03415082393041691,0.03656625593097029,
2023-07-07,0.03175728471500783,0.03177126865198088,0.02917949357391092,0.03178225579322769,
2023-07-08,0.03175728471500783,0.03177126865198088,0.02917949357391092,0.03178225579322769,
2023-07-09,0.03175728471500783,0.03177126865198088,0.02917949357391092,0.03178225579322769,
2023-07-10,0.03529928042260577,0.035326646089987035,0.03242554599472558,0.03534672418647378,
2023-07-11,0.04576666388758244,0.04578429244058313,0.043032083868050686,0.04582321111906884,
2023-07-12,0.04911284377309211,0.04913039910468209,0.04772914680024365,0.04916170877046855,
2023-07-13,0.05383050859580196,0.05384504625941955,0.05422620783406562,0.05388119723813678,
2023-07-14,0.052634951319115775,0.05268043309504855,0.0514887494235039,0.05268227621193522,
2023-07-15,0.052634951319115775,0.05268043309504855,0.0514887494235039,0.05268227621193522,
2023-07-16,0.052634951319115775,0.05268043309504855,0.0514887494235039,0.05268227621193522,
2023-07-17,0.05204116499386102,0.05210147515276997,0.049957338428541664,0.05208736529959723,
2023-07-18,0.06028472297667853,0.060348870973158775,0.06038064453552061,0.06033468181417878,
2023-07-19,0.06629436267416922,0.06633570682350265,0.06748662602000488,0.0663430435681156,
2023-07-20,0.06921939776403563,0.0692636685298813,0.06743096559980577,0.06926691732422285,
2023-07-21,0.06982662727906885,0.06985617771696218,0.06755751101018692,0.06986942393590878,
2023-07-22,0.06982662727906885,0.06985617771696218,0.06755751101018692,0.06986942393590878,
2023-07-23,0.06982662727906885,0.06985617771696218,0.06755751101018692,0.06986942393590878,
2023-07-24,0.07380835009652786,0.07384716173034533,0.07024244451712103,0.07385123933544424,
2023-07-25,0.07686929010328081,0.07690770814915937,0.07474875556881955,0.07690890460508837,
2023-07-26,0.08100636904607783,0.08103198231530273,0.07797804800030139,0.0810567311329935,
2023-07-27,0.07302475159284527,0.0730727127271098,0.06845660943104304,0.07308641967067753,
2023-07-28,0.08008564358318204,0.08014726541434136,0.07585783517717126,0.08015826427021921,
2023-07-29,0.08008564358318204,0.08014726541434136,0.07585783517717126,0.08015826427021921,
2023-07-30,0.08008564358318204,0.08014726541434136,0.07585783517717126,0.08015826427021921,
2023-07-31,0.08296534405950284,0.08302254004988918,0.07925866342903154,0.08304735150510845,
2023-08-01,0.08319916999687527,0.08326630395159662,0.07818783807460372,0.08329465885959242,
2023-08-02,0.07148507115218616,0.0715318374553695,0.06434300027362538,0.07157412273866237,
2023-08-03,0.0692222012179522,0.06926512492712722,0.06169991720731449,0.06930746484791928,
2023-08-04,0.06742801301453105,0.06746472727905495,0.05975816080541252,0.06749462516633531,
2023-08-05,0.06742801301453105,0.06746472727905495,0.05975816080541252,0.06749462516633531,
2023-08-06,0.06742801301453105,0.06746472727905495,0.05975816080541252,0.06749462516633531,
2023-08-07,0.07852151483027558,0.07855589055191592,0.0693777771077504,0.0785887249009154,
2023-08-08,0.07422292896974247,0.07425869197279722,0.06558859293018315,0.07430143474594231,
2023-08-09,0.06774193560784969,0.06776815669226832,0.057228890647168074,0.06782038669142909,
2023-08-10,0.07064488313504813,0.07067485054414102,0.06117869280931054,0.07073161784966997,
2023-08-11,0.07249081561942639,0.0725128994851767,0.06191354039390751,0.07257742973324177,
2023-08-12,0.07249081561942639,0.0725128994851767,0.06191354039390751,0.07257742973324177,
2023-08-13,0.07249081561942639,0.0725128994851767,0.06191354039390751,0.07257742973324177,
2023-08-14,0.07619685601110615,0.07624626590082073,0.06730866029680915,0.07629228870944282,
2023-08-15,0.0650204225304496,0.06506398461737861,0.05631750746512654,0.06510634663369141,
2023-08-16,0.05960515760072371,0.05965360234158412,0.05091967221858895,0.05969550595701634,
2023-08-17,0.05413648850750863,0.054172410288566786,0.046110971866558215,0.054231405922192444,
2023-08-18,0.05554072238769736,0.05558590211394532,0.047106792776560935,0.05563953254669185,
2023-08-19,0.05554072238769736,0.05558590211394532,0.047106792776560935,0.05563953254669185,
2023-08-20,0.05554072238769736,0.05558590211394532,0.047106792776560935,0.05563953254669185,
2023-08-21,0.057430952232910615,0.05750547335777578,0.05097309240165249,0.057544920642284225,
2023-08-22,0.051468122106452574,0.05152507322975253,0.04413359000496819,0.05157207979288114,
2023-08-23,0.058459368003684675,0.05853036034758996,0.05206632018306245,0.05857128447817872,
2023-08-24,0.04721752756880271,0.047284864713322605,0.040160834986896266,0.04731571529373246,
2023-08-25,0.05332893310048159,0.05339109841894518,0.044974221801857395,0.0534252447999668,
