Ticker,A2C,PPO,SAC,Equal_Weight
AAPL,0.03322792798280716,0.03324994072318077,0.051059432327747345,0.03333333333333333
AMGN,0.03323276713490486,0.03324994072318077,0.05106920003890991,0.03333333333333333
AMZN,0.03340194746851921,0.03327246010303497,0.01883317343890667,0.03333333333333333
AXP,0.03322792798280716,0.033563170582056046,0.022390468046069145,0.03333333333333333
BA,0.03347408026456833,0.03349846228957176,0.018813209608197212,0.03333333333333333
CAT,0.03322792798280716,0.03326300531625748,0.018961070105433464,0.03333333333333333
CRM,0.03322792798280716,0.03324994072318077,0.050931427627801895,0.03333333333333333
CSCO,0.03322792798280716,0.03324994072318077,0.034902699291706085,0.03333333333333333
CVX,0.033287014812231064,0.03338789567351341,0.0291387178003788,0.03333333333333333
DIS,0.03322792798280716,0.03324994072318077,0.05093134939670563,0.03333333333333333
GS,0.033488716930150986,0.03324994072318077,0.050898149609565735,0.03333333333333333
HD,0.03332239389419556,0.03324994072318077,0.018874216824769974,0.03333333333333333
HON,0.033441364765167236,0.03324994072318077,0.018816456198692322,0.03333333333333333
IBM,0.03325541317462921,0.03324994072318077,0.018802663311362267,0.03333333333333333
JNJ,0.033464476466178894,0.03351210802793503,0.01880497857928276,0.03333333333333333
JPM,0.03334587812423706,0.03376017510890961,0.050638891756534576,0.03333333333333333
KO,0.03365141153335571,0.03324994072318077,0.0189139973372221,0.03333333333333333
MCD,0.03322792798280716,0.03324994072318077,0.01879160851240158,0.03333333333333333
MMM,0.03322792798280716,0.03324994072318077,0.01895531825721264,0.03333333333333333
MRK,0.03348793089389801,0.03343813121318817,0.051064666360616684,0.03333333333333333
MSFT,0.03342723846435547,0.03351437300443649,0.05044448375701904,0.03333333333333333
NKE,0.03322792798280716,0.03324994072318077,0.05102994292974472,0.03333333333333333
NVDA,0.03322792798280716,0.03338063508272171,0.0430091917514801,0.03333333333333333
PG,0.03356898948550224,0.03324994072318077,0.01883331872522831,0.03333333333333333
SHW,0.03322792798280716,0.03324994072318077,0.05059461668133736,0.03333333333333333
TRV,0.033348292112350464,0.03324994072318077,0.01881241239607334,0.03333333333333333
UNH,0.03324739634990692,0.033439259976148605,0.018811456859111786,0.03333333333333333
V,0.03350687399506569,0.03339700400829315,0.046868711709976196,0.03333333333333333
VZ,0.03331274166703224,0.03324994072318077,0.05106131732463837,0.03333333333333333
WMT,0.03322792798280716,0.03332434967160225,0.018942857161164284,0.03333333333333333
