Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2023-06-01,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
2023-06-02,0.049523819237947464,0.04945666715502739,0.01845902018249035,0.04930490627884865,0.018538489937782288,0.019005730748176575,0.04890897870063782,0.04673321545124054,0.018908938392996788,0.04933199658989906,0.0493159256875515,0.018594203516840935,0.018820513039827347,0.01957072503864765,0.018575593829154968,0.04812421277165413,0.019024036824703217,0.018332291394472122,0.02450678125023842,0.04963531345129013,0.04489265754818916,0.04951806366443634,0.049272261559963226,0.018432920798659325,0.04683356732130051,0.01846795529127121,0.01841781660914421,0.033211927860975266,0.04940264672040939,0.018878744915127754
2023-06-03,0.04902661591768265,0.04883980751037598,0.018541434779763222,0.047467783093452454,0.01840335875749588,0.018661439418792725,0.047971710562705994,0.04801396280527115,0.018823344260454178,0.048771195113658905,0.048446934670209885,0.01838814653456211,0.0185205340385437,0.018801173195242882,0.01934078335762024,0.047784410417079926,0.018527137115597725,0.018149692565202713,0.044055402278900146,0.04907287657260895,0.04682757332921028,0.0490395724773407,0.0469466932117939,0.018270030617713928,0.04777167737483978,0.018280986696481705,0.01853412576019764,0.02130945585668087,0.0489640012383461,0.018448177725076675
2023-06-04,0.04906797409057617,0.04891200736165047,0.018591566011309624,0.04760317876935005,0.018423397094011307,0.018674485385417938,0.0480719693005085,0.047934990376234055,0.018859772011637688,0.048828039318323135,0.04851637780666351,0.018409648910164833,0.018530501052737236,0.018924996256828308,0.01914694719016552,0.04781363904476166,0.018571635708212852,0.018172256648540497,0.04311618208885193,0.04913916438817978,0.04676377400755882,0.04909772053360939,0.04714377224445343,0.018299391493201256,0.047839075326919556,0.018306221812963486,0.01854969747364521,0.021215694025158882,0.04900018870830536,0.018475722521543503
2023-06-05,0.04911443963646889,0.048967137932777405,0.018702367320656776,0.047610484063625336,0.01842130906879902,0.018702559173107147,0.04813634604215622,0.04790966585278511,0.018903370946645737,0.048853155225515366,0.04857124388217926,0.018428228795528412,0.01851695403456688,0.0190530177205801,0.019241247326135635,0.04784928262233734,0.018587635830044746,0.018187472596764565,0.04248298704624176,0.04918333515524864,0.04645674303174019,0.049144525080919266,0.04722563922405243,0.01831735298037529,0.04793849587440491,0.01831931807100773,0.018566209822893143,0.021089758723974228,0.049024347215890884,0.018495479598641396
2023-06-06,0.049107760190963745,0.04896949231624603,0.019090209156274796,0.04762968420982361,0.018427081406116486,0.01871965266764164,0.04768725484609604,0.04773498326539993,0.01893681287765503,0.04881492629647255,0.0484858900308609,0.01845022849738598,0.018495967611670494,0.019481947645545006,0.019680777564644814,0.047890037298202515,0.018587088212370872,0.018186349421739578,0.04415808990597725,0.04914608225226402,0.045811977237463,0.049121029675006866,0.04667416214942932,0.018339233472943306,0.048063088208436966,0.018321840092539787,0.01868419162929058,0.01987859047949314,0.04893004894256592,0.01849552057683468
2023-06-07,0.04900335520505905,0.04889913275837898,0.01920217275619507,0.048078421503305435,0.018397869542241096,0.018820006400346756,0.04826970770955086,0.04752001166343689,0.01884034276008606,0.04877486079931259,0.04844390228390694,0.01840745285153389,0.018455764278769493,0.01880638115108013,0.019104614853858948,0.047802478075027466,0.01854662410914898,0.018164563924074173,0.043112367391586304,0.04909864813089371,0.04695111885666847,0.04906177893280983,0.04692502319812775,0.0183228962123394,0.048031385987997055,0.018303165212273598,0.018612070009112358,0.020609717816114426,0.04891890659928322,0.018515242263674736
2023-06-08,0.04910825565457344,0.04900849238038063,0.0195227712392807,0.04876742139458656,0.018419096246361732,0.018840700387954712,0.048149097710847855,0.04737232252955437,0.01862352527678013,0.048787858337163925,0.04847301170229912,0.01847485639154911,0.018491243943572044,0.018365958705544472,0.02013210766017437,0.04826968163251877,0.01868491992354393,0.018202930688858032,0.04014674201607704,0.049157124012708664,0.047981444746255875,0.04920033738017082,0.044778164476156235,0.018376938998699188,0.04834999516606331,0.018340682610869408,0.01895456202328205,0.02136276476085186,0.04905831813812256,0.01859862543642521
2023-06-09,0.04900680109858513,0.04885673522949219,0.020243147388100624,0.04870761185884476,0.018357068300247192,0.01873205229640007,0.047937408089637756,0.047396134585142136,0.01859596185386181,0.04861785098910332,0.048350412398576736,0.018414663150906563,0.01842987723648548,0.018394682556390762,0.02091851644217968,0.048209160566329956,0.018555643036961555,0.018156861886382103,0.04275892302393913,0.049028340727090836,0.04797622561454773,0.04912888631224632,0.043386030942201614,0.018321257084608078,0.04833664745092392,0.01828496903181076,0.01899714022874832,0.020421314984560013,0.04892133176326752,0.01855827122926712
2023-06-10,0.04894814267754555,0.048826806247234344,0.02021733485162258,0.04840406775474548,0.018374420702457428,0.018782662227749825,0.047576215118169785,0.04778468981385231,0.018541008234024048,0.04864547401666641,0.04836031049489975,0.01841931976377964,0.018405573442578316,0.01872849091887474,0.020436640828847885,0.0479663722217083,0.018510345369577408,0.018135467544198036,0.04282422363758087,0.048986732959747314,0.04727655649185181,0.04904692620038986,0.04602348431944847,0.018297387287020683,0.04812239482998848,0.018283400684595108,0.018774695694446564,0.019929764792323112,0.04885205999016762,0.018519053235650063
