Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2023-06-01,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
2023-06-02,0.033235035836696625,0.033235035836696625,0.03328634053468704,0.033246155828237534,0.033235035836696625,0.03331748768687248,0.03363162279129028,0.033235035836696625,0.033235035836696625,0.03331000730395317,0.033235035836696625,0.033235035836696625,0.03328924626111984,0.033235035836696625,0.03351615369319916,0.033574432134628296,0.033235035836696625,0.033235035836696625,0.033286552876234055,0.033235035836696625,0.03380090370774269,0.033451929688453674,0.033235035836696625,0.033355433493852615,0.033235035836696625,0.033240873366594315,0.033469632267951965,0.033235035836696625,0.03326651453971863,0.033666133880615234
2023-06-03,0.03322942182421684,0.03322942182421684,0.03322942182421684,0.03322942182421684,0.03348037973046303,0.03322942182421684,0.03348804637789726,0.03323107585310936,0.03351057320833206,0.03322942182421684,0.03322942182421684,0.03322942182421684,0.033319175243377686,0.03322942182421684,0.03349926695227623,0.033416200429201126,0.03334988281130791,0.03322942182421684,0.03322942182421684,0.03322942182421684,0.03370256721973419,0.03358472138643265,0.03330707177519798,0.033281754702329636,0.03325892239809036,0.03326594829559326,0.03337211161851883,0.03322942182421684,0.03322942182421684,0.03372040018439293
2023-06-04,0.03322898596525192,0.03322898596525192,0.03322898596525192,0.03322898596525192,0.033485520631074905,0.03322898596525192,0.03348204493522644,0.033241260796785355,0.03350101038813591,0.03322898596525192,0.03322898596525192,0.03322898596525192,0.033320605754852295,0.03322898596525192,0.03349204361438751,0.03340405970811844,0.03336445614695549,0.03322898596525192,0.03322898596525192,0.03322979807853699,0.03369917720556259,0.033588554710149765,0.03331165015697479,0.033283770084381104,0.03325774893164635,0.03327126055955887,0.033373184502124786,0.03323162719607353,0.03322898596525192,0.03371435031294823
2023-06-05,0.03327910602092743,0.03321719542145729,0.03321719542145729,0.03321719542145729,0.0335034504532814,0.03326842188835144,0.03342250734567642,0.033300843089818954,0.03341369330883026,0.03321719542145729,0.03321719542145729,0.03321719542145729,0.033316582441329956,0.03321719542145729,0.03344516456127167,0.033314112573862076,0.03346410393714905,0.03321719542145729,0.03321719542145729,0.033265165984630585,0.033653561025857925,0.03360314667224884,0.03332168608903885,0.03329724073410034,0.033252350986003876,0.03330177068710327,0.033374764025211334,0.033383943140506744,0.03321719542145729,0.03364639729261398
2023-06-06,0.03321850672364235,0.03321850672364235,0.03321850672364235,0.03321850672364235,0.03337865322828293,0.03330912068486214,0.03345871344208717,0.03321850672364235,0.03335098922252655,0.03321850672364235,0.03321850672364235,0.03321850672364235,0.03321850672364235,0.03321850672364235,0.03351341933012009,0.03355557098984718,0.03344538435339928,0.03321850672364235,0.03321850672364235,0.03321850672364235,0.033814795315265656,0.03336109220981598,0.03333321213722229,0.03321850672364235,0.03328751400113106,0.03326204791665077,0.033439263701438904,0.03330366313457489,0.033340711146593094,0.03378676623106003
2023-06-07,0.033280469477176666,0.033241741359233856,0.033241741359233856,0.033241741359233856,0.033241741359233856,0.033241741359233856,0.03337815776467323,0.033317405730485916,0.0333697646856308,0.033241741359233856,0.033241741359233856,0.033241741359233856,0.033241741359233856,0.033241741359233856,0.03344060108065605,0.033545032143592834,0.03337212651968002,0.033241741359233856,0.033241741359233856,0.033241741359233856,0.03371906653046608,0.03339027985930443,0.033353932201862335,0.033256858587265015,0.033416662365198135,0.033263351768255234,0.03348636254668236,0.03333881497383118,0.033241741359233856,0.03368675336241722
2023-06-08,0.03333670273423195,0.03323876112699509,0.03323876112699509,0.03323876112699509,0.03323876112699509,0.033269863575696945,0.03333265334367752,0.03333190083503723,0.03346257656812668,0.03323876112699509,0.03323876112699509,0.03323876112699509,0.03323876112699509,0.03323876112699509,0.033390600234270096,0.03350592777132988,0.033327843993902206,0.03323876112699509,0.03323876112699509,0.03323876112699509,0.033687349408864975,0.03353257104754448,0.03338462859392166,0.03323876112699509,0.033349260687828064,0.03323876112699509,0.03353302180767059,0.033323802053928375,0.03323876112699509,0.033649906516075134
2023-06-09,0.03324110805988312,0.03324110805988312,0.03324110805988312,0.03324110805988312,0.033370181918144226,0.03327445685863495,0.033355165272951126,0.03328718990087509,0.03345055505633354,0.03324110805988312,0.03324110805988312,0.03324110805988312,0.03324110805988312,0.03324110805988312,0.03335503116250038,0.033513471484184265,0.033378999680280685,0.03324110805988312,0.03324110805988312,0.03324110805988312,0.033660780638456345,0.033507607877254486,0.03344392776489258,0.03324110805988312,0.03331144526600838,0.033259324729442596,0.03350076079368591,0.033312682062387466,0.03324110805988312,0.0336429588496685
2023-06-10,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.03337855264544487,0.033309243619441986,0.033458612859249115,0.033218495547771454,0.03335105627775192,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033513471484184265,0.03355555236339569,0.03344537690281868,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.03381488099694252,0.03336095064878464,0.033333126455545425,0.033218495547771454,0.03328752890229225,0.03326212242245674,0.033439356833696365,0.033303745090961456,0.03334065526723862,0.033786747604608536
2023-06-11,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.03337855264544487,0.033309243619441986,0.033458612859249115,0.033218495547771454,0.03335105627775192,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033513471484184265,0.03355555236339569,0.03344537690281868,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.03381488099694252,0.03336095064878464,0.033333126455545425,0.033218495547771454,0.03328752890229225,0.03326212242245674,0.033439356833696365,0.033303745090961456,0.03334065526723862,0.033786747604608536
2023-06-12,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.03337855264544487,0.033309243619441986,0.033458612859249115,0.033218495547771454,0.03335105627775192,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033513471484184265,0.03355555236339569,0.03344537690281868,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.03381488099694252,0.03336095064878464,0.033333126455545425,0.033218495547771454,0.03328752890229225,0.03326212242245674,0.033439356833696365,0.033303745090961456,0.03334065526723862,0.033786747604608536
2023-06-13,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.03337854892015457,0.033309243619441986,0.033458612859249115,0.033218495547771454,0.03335105627775192,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.033513475209474564,0.03355555236339569,0.03344537317752838,0.033218495547771454,0.033218495547771454,0.033218495547771454,0.03381487727165222,0.03336094692349434,0.033333130180835724,0.033218495547771454,0.03328753262758255,0.03326212614774704,0.033439360558986664,0.033303745090961456,0.03334065526723862,0.033786747604608536
