train/actor_loss,time/fps,train/learning_rate,train/critic_loss,train/ent_coef,train/reward,time/time_elapsed,time/total_timesteps,time/episodes,train/ent_coef_loss,train/n_updates
-10815477.0,17,0.0001,41922740224.0,0.24060310423374176,601115.2,518,8972,4,651.0364990234375,8871
-19983014.0,17,0.0001,96202530816.0,0.5900123119354248,601115.2,1025,17944,8,240.64096069335938,17843
-23036736.0,17,0.0001,141480984576.0,1.4471343755722046,601115.2,1537,26916,12,-168.80474853515625,26815
-27191080.0,17,0.0001,184511201280.0,3.54959774017334,601115.2,2043,35888,16,-577.7374877929688,35787
-28026788.0,17,0.0001,11366303793152.0,8.706143379211426,592977.75,2554,44860,20,-988.1324462890625,44759
