,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,2017-11-09,AAPL,41.18246841430664,44.025001525878906,43.28499984741211,43.77750015258789,117930400.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,41.18246841430664,41.18246841430664
0,2017-11-09,ADA-USD,0.03205300122499466,0.03505999967455864,0.025005999952554703,0.02515999972820282,18716200.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,0.03205300122499466,0.03205300122499466
0,2017-11-09,AMGN,138.7406463623047,174.22999572753906,171.30999755859375,172.75,2005100.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,138.7406463623047,138.7406463623047
0,2017-11-09,AMZN,56.45650100708008,56.48099899291992,55.78850173950195,56.29800033569336,74654000.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,56.45650100708008,56.45650100708008
0,2017-11-09,AXP,84.53789520263672,94.66000366210938,93.27999877929688,94.33999633789062,3949800.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,84.53789520263672,84.53789520263672
0,2017-11-09,BA,250.3512420654297,266.75,259.55999755859375,265.010009765625,3215900.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,250.3512420654297,250.3512420654297
0,2017-11-09,BNB-USD,1.9907699823379517,2.1742300987243652,1.8939399719238281,2.0531399250030518,19192200.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,1.9907699823379517,1.9907699823379517
0,2017-11-09,BTC-USD,7143.580078125,7446.830078125,7101.52001953125,7446.830078125,3226249984.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,7143.580078125,7143.580078125
0,2017-11-09,CAT,114.9268569946289,136.75,134.64999389648438,136.44000244140625,2940300.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,114.9268569946289,114.9268569946289
0,2017-11-09,CRM,102.8629379272461,104.44000244140625,102.41000366210938,104.33000183105469,5128600.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,102.8629379272461,102.8629379272461
0,2017-11-09,CSCO,27.13332748413086,34.31999969482422,33.869998931884766,34.290000915527344,16785000.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,27.13332748413086,27.13332748413086
0,2017-11-09,CVX,85.1051025390625,117.5,115.62000274658203,115.9000015258789,5103300.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,85.1051025390625,85.1051025390625
0,2017-11-09,DIS,97.85111236572266,103.91000366210938,100.80000305175781,100.83000183105469,13172500.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,97.85111236572266,97.85111236572266
0,2017-11-09,DOGE-USD,0.0014149999478831887,0.0014149999478831887,0.0011810000287368894,0.0012069999938830733,6259550.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,0.0014149999478831887,0.0014149999478831887
0,2017-11-09,ETH-USD,320.8840026855469,329.4519958496094,307.0559997558594,308.6449890136719,893249984.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,320.8840026855469,320.8840026855469
0,2017-11-09,GS,204.25604248046875,242.3699951171875,237.83999633789062,239.50999450683594,2122400.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,204.25604248046875,204.25604248046875
0,2017-11-09,HD,136.2267303466797,164.13999938964844,162.27999877929688,164.10000610351562,3405200.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,136.2267303466797,136.2267303466797
0,2017-11-09,HON,119.45439147949219,140.36489868164062,138.61093139648438,140.1923828125,2456155.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,119.45439147949219,119.45439147949219
0,2017-11-09,IBM,103.2695083618164,145.12428283691406,143.26959228515625,143.33651733398438,4996219.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,103.2695083618164,103.2695083618164
0,2017-11-09,JNJ,114.06759643554688,141.41000366210938,139.8000030517578,140.86000061035156,3517100.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,114.06759643554688,114.06759643554688
0,2017-11-09,JPM,79.20001983642578,98.22000122070312,96.80999755859375,97.12000274658203,13697800.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,79.20001983642578,79.20001983642578
0,2017-11-09,KO,36.522361755371094,46.38999938964844,46.02000045776367,46.119998931884766,6532400.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,36.522361755371094,36.522361755371094
0,2017-11-09,MCD,140.00436401367188,169.1999969482422,166.10000610351562,168.72000122070312,4219000.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,140.00436401367188,140.00436401367188
0,2017-11-09,MMM,145.57504272460938,191.80601501464844,189.8411407470703,191.0869598388672,1884657.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,145.57504272460938,145.57504272460938
0,2017-11-09,MRK,42.7332763671875,54.064884185791016,53.07251739501953,53.959922790527344,14818825.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,42.7332763671875,42.7332763671875
0,2017-11-09,MSFT,77.36576080322266,84.2699966430664,82.9000015258789,84.11000061035156,21178400.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,77.36576080322266,77.36576080322266
0,2017-11-09,NKE,51.4198112487793,56.349998474121094,55.310001373291016,55.5,10958500.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,51.4198112487793,51.4198112487793
0,2017-11-09,NVDA,5.073525905609131,5.158249855041504,5.009250164031982,5.131750106811523,978564000.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,5.073525905609131,5.073525905609131
0,2017-11-09,PG,72.4545669555664,88.16999816894531,87.30000305175781,87.3499984741211,5280000.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,72.4545669555664,72.4545669555664
0,2017-11-09,SHW,120.69993591308594,131.61000061035156,128.3000030517578,131.61000061035156,1343700.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,120.69993591308594,120.69993591308594
0,2017-11-09,TRV,113.86358642578125,135.0800018310547,132.44000244140625,133.1199951171875,1353100.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,113.86358642578125,113.86358642578125
0,2017-11-09,TRX-USD,0.002343999920412898,0.002437999937683344,0.0022849999368190765,0.0023040000814944506,2924350.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,0.002343999920412898,0.002343999920412898
0,2017-11-09,UNH,189.2782745361328,211.75999450683594,209.1300048828125,210.58999633789062,1839700.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,189.2782745361328,189.2782745361328
0,2017-11-09,USDT-USD,1.008180022239685,1.0132700204849243,0.9965149760246277,1.0108699798583984,358188000.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,1.008180022239685,1.008180022239685
0,2017-11-09,V,106.47802734375,112.22000122070312,110.93000030517578,111.80000305175781,4334700.0,3,0.0,41.307081905405866,40.9215481605121,0.0,-66.66666666666667,100.0,106.47802734375,106.47802734375
