time/total_timesteps,train/reward,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,time/iterations,train/n_updates,time/fps,train/policy_loss,time/time_elapsed,train/std
49000,-877.85034,-2.384185791015625e-07,1e-05,16173309.0,-55.34453201293945,4900,4899,62,-200590.546875,780,1.0001535415649414
50000,-476.08167,-1.1920928955078125e-07,1e-05,125698072.0,-55.345069885253906,5000,4999,62,475731.5,795,1.0001654624938965
51000,630.6595,0.0,1e-05,2146419.75,-55.345027923583984,5100,5099,62,24682.73046875,811,1.00016450881958
52000,-1030.8849,-1.1920928955078125e-07,1e-05,124128512.0,-55.34492874145508,5200,5199,63,-462941.8125,824,1.0001633167266846
53000,136.68523,0.0,1e-05,10553133.0,-55.34576416015625,5300,5299,62,52910.55078125,846,1.000184416770935
54000,-2531.6592,0.0,1e-05,2263576.75,-55.3450927734375,5400,5399,62,-1034.65234375,862,1.0001696348190308
55000,1278.2018,0.0,1e-05,1502383.125,-55.34660720825195,5500,5499,62,-18983.771484375,883,1.000209093093872
56000,273.15982,-1.3828277587890625e-05,1e-05,132179864.0,-55.347084045410156,5600,5599,62,-506426.65625,897,1.0002144575119019
57000,2091.7605,0.0,1e-05,1002679.5,-55.3470344543457,5700,5699,62,37978.30859375,919,1.0002140998840332
58000,-7441.016,0.0,1e-05,2527775488.0,-55.3475227355957,5800,5799,62,2555942.75,933,1.0002310276031494
59000,-1179.5562,0.0,1e-05,5575844.5,-55.3466911315918,5900,5899,62,-3794.835205078125,949,1.0002086162567139
60000,-2193.2373,3.11732292175293e-05,1e-05,156229120.0,-55.346832275390625,6000,5999,62,-604677.0625,962,1.0002104043960571
61000,6709.5396,-1.1920928955078125e-07,1e-05,65676852.0,-55.346595764160156,6100,6099,62,-366764.78125,979,1.0002046823501587
62000,-1650.9551,-1.1920928955078125e-07,1e-05,10692264.0,-55.34746170043945,6200,6199,62,144087.109375,993,1.0002275705337524
63000,-1302.6418,0.0,1e-05,20239826.0,-55.347572326660156,6300,6299,62,-195521.828125,1013,1.0002285242080688
64000,-803.44745,0.0,1e-05,808180.875,-55.34845733642578,6400,6399,62,-25333.482421875,1027,1.0002548694610596
65000,-3975.2456,0.0,1e-05,474755072.0,-55.3487663269043,6500,6499,62,-907082.1875,1043,1.0002617835998535
66000,-1569.2318,-1.1920928955078125e-07,1e-05,3271628.75,-55.3484992980957,6600,6599,62,-60003.875,1056,1.0002535581588745
67000,-712.02606,0.0001519322395324707,1e-05,52017216.0,-55.34804916381836,6700,6699,62,-290220.21875,1077,1.0002416372299194
68000,502.6638,0.0,1e-05,306863328.0,-55.348426818847656,6800,6799,62,-817413.75,1091,1.000252366065979
69000,-2002.5337,0.0001137852668762207,1e-05,6825886.5,-55.3490104675293,6900,6899,62,23263.134765625,1107,1.0002689361572266
70000,-978.5509,0.0,1e-05,4368347.0,-55.348426818847656,7000,6999,62,-20264.353515625,1121,1.000251054763794
71000,-643.0517,0.0,1e-05,3273030.0,-55.348487854003906,7100,7099,62,-46397.26953125,1142,1.0002559423446655
72000,-1860.8215,0.0,1e-05,7437936.0,-55.349403381347656,7200,7199,62,-105559.6484375,1156,1.0002782344818115
73000,44.563175,0.0,1e-05,2623427.75,-55.34904861450195,7300,7299,62,-23254.6875,1175,1.0002678632736206
74000,2598.3586,0.0,1e-05,3271408.25,-55.349788665771484,7400,7399,62,83110.0546875,1189,1.0002903938293457
75000,-1758.6664,1.1920928955078125e-07,1e-05,14670602.0,-55.34991455078125,7500,7499,62,-165870.0,1206,1.000293493270874
76000,91.931755,-1.1920928955078125e-07,1e-05,18203046.0,-55.349822998046875,7600,7599,62,-187695.796875,1220,1.0002877712249756
77000,-439.48502,-1.1920928955078125e-07,1e-05,2757654.0,-55.35014724731445,7700,7699,62,-33310.49609375,1239,1.0002976655960083
78000,112.624054,0.0,1e-05,13053819.0,-55.35029220581055,7800,7799,62,-147064.3125,1256,1.0002995729446411
79000,1325.6617,0.0,1e-05,17685438.0,-55.3507194519043,7900,7899,62,207077.671875,1273,1.0003114938735962
80000,1428.5167,-1.1920928955078125e-07,1e-05,127691136.0,-55.35184860229492,8000,7999,62,-139157.75,1288,1.0003408193588257
81000,459.56943,1.1920928955078125e-07,1e-05,659953.8125,-55.3513069152832,8100,8099,62,-23662.712890625,1304,1.0003207921981812
82000,-2747.0366,0.0,1e-05,6240518.0,-55.35165023803711,8200,8199,62,-90422.2734375,1320,1.0003325939178467
83000,-1932.239,0.0,1e-05,25752322.0,-55.35224533081055,8300,8299,62,-200254.296875,1337,1.0003491640090942
84000,495.43704,0.0,1e-05,47132780.0,-55.3519172668457,8400,8399,62,-357721.21875,1353,1.0003420114517212
